Course,Hole,Par,Distance,Course_Rating,Slope_Rating,LAT,LON
Chamberlain Park Golf Course ,5,,,66.7,107,-36.8702429389515,174.720759412056
Chamberlain Park Golf Course ,6,,,66.7,107,-36.8702429389515,174.720759412056
Chamberlain Park Golf Course ,7,,,66.7,107,-36.8702429389515,174.720759412056
Chamberlain Park Golf Course ,8,,,66.7,107,-36.8702429389515,174.720759412056
Chamberlain Park Golf Course ,9,,,66.7,107,-36.8702429389515,174.720759412056
Chamberlain Park Golf Course ,10,,,66.7,107,-36.8702429389515,174.720759412056
Chamberlain Park Golf Course ,11,,,66.7,107,-36.8702429389515,174.720759412056
Chamberlain Park Golf Course ,12,,,66.7,107,-36.8702429389515,174.720759412056
Chamberlain Park Golf Course ,13,,,66.7,107,-36.8702429389515,174.720759412056
Chamberlain Park Golf Course ,14,,,66.7,107,-36.8702429389515,174.720759412056
Chamberlain Park Golf Course ,15,,,66.7,107,-36.8702429389515,174.720759412056
Chamberlain Park Golf Course ,16,,,66.7,107,-36.8702429389515,174.720759412056
Chamberlain Park Golf Course ,17,,,66.7,107,-36.8702429389515,174.720759412056
Chamberlain Park Golf Course ,18,,,66.7,107,-36.8702429389515,174.720759412056
Manawatu Golf Club ,1,,,72.1,123,-40.370721643039,175.63554374477
Manawatu Golf Club ,2,,,72.1,123,-40.370721643039,175.63554374477
Manawatu Golf Club ,3,,,72.1,123,-40.370721643039,175.63554374477
Manawatu Golf Club ,4,,,72.1,123,-40.370721643039,175.63554374477
Manawatu Golf Club ,5,,,72.1,123,-40.370721643039,175.63554374477
Manawatu Golf Club ,6,,,72.1,123,-40.370721643039,175.63554374477
Manawatu Golf Club ,7,,,72.1,123,-40.370721643039,175.63554374477
Manawatu Golf Club ,8,,,72.1,123,-40.370721643039,175.63554374477
Manawatu Golf Club ,9,,,72.1,123,-40.370721643039,175.63554374477
Manawatu Golf Club ,10,,,72.1,123,-40.370721643039,175.63554374477
Manawatu Golf Club ,11,,,72.1,123,-40.370721643039,175.63554374477
Manawatu Golf Club ,12,,,72.1,123,-40.370721643039,175.63554374477
Manawatu Golf Club ,13,,,72.1,123,-40.370721643039,175.63554374477
Manawatu Golf Club ,14,,,72.1,123,-40.370721643039,175.63554374477
Manawatu Golf Club ,15,,,72.1,123,-40.370721643039,175.63554374477
Manawatu Golf Club ,16,,,72.1,123,-40.370721643039,175.63554374477
Manawatu Golf Club ,17,,,72.1,123,-40.370721643039,175.63554374477
Manawatu Golf Club ,18,,,72.1,123,-40.370721643039,175.63554374477
Palmerston North Golf Club ,1,,,69.9,119,-40.35269116882644,175.643946589925
Palmerston North Golf Club ,2,,,69.9,119,-40.35269116882644,175.643946589925
Palmerston North Golf Club ,3,,,69.9,119,-40.35269116882644,175.643946589925
Palmerston North Golf Club ,4,,,69.9,119,-40.35269116882644,175.643946589925
Palmerston North Golf Club ,5,,,69.9,119,-40.35269116882644,175.643946589925
Palmerston North Golf Club ,6,,,69.9,119,-40.35269116882644,175.643946589925
Palmerston North Golf Club ,7,,,69.9,119,-40.35269116882644,175.643946589925
Palmerston North Golf Club ,8,,,69.9,119,-40.35269116882644,175.643946589925
Palmerston North Golf Club ,9,,,69.9,119,-40.35269116882644,175.643946589925
Palmerston North Golf Club ,10,,,69.9,119,-40.35269116882644,175.643946589925
Palmerston North Golf Club ,11,,,69.9,119,-40.35269116882644,175.643946589925
Palmerston North Golf Club ,12,,,69.9,119,-40.35269116882644,175.643946589925
Palmerston North Golf Club ,13,,,69.9,119,-40.35269116882644,175.643946589925
Palmerston North Golf Club ,14,,,69.9,119,-40.35269116882644,175.643946589925
Palmerston North Golf Club ,15,,,69.9,119,-40.35269116882644,175.643946589925
Palmerston North Golf Club ,16,,,69.9,119,-40.35269116882644,175.643946589925
Palmerston North Golf Club ,17,,,69.9,119,-40.35269116882644,175.643946589925
Palmerston North Golf Club ,18,,,69.9,119,-40.35269116882644,175.643946589925
Waimairi Beach Golf Course ,1,5,466,68.7,116,-43.48113500900837,172.714495227238
Waimairi Beach Golf Course ,2,4,355,68.7,116,-43.48113500900837,172.714495227238
Waimairi Beach Golf Course ,3,4,356,68.7,116,-43.48113500900837,172.714495227238
